id,jugador,efectividad,primer_saque,puntos_primer,puntos_segundo,juegos_saque
1,Giovanni Mpetshi Perricard,302.2,64.9%,80.1%,53.3%,89.9%
2,Alexander Zverev,299.1,71.0%,76.9%,54.2%,89.8%
3,Hubert Hurkacz,296.8,63.4%,78.0%,54.8%,88.7%
4,Matteo Berrettini,295.9,68.2%,77.7%,52.6%,89.5%
5,Jannik Sinner,295.6,61.4%,79.4%,57.9%,91.4%
6,Ben Shelton,294.3,68.7%,76.0%,54.3%,89.1%
7,Taylor Fritz,293.5,62.4%,78.5%,55.3%,88.6%
8,Brandon Nakashima,291.6,66.1%,74.6%,55.7%,87.8%
9,Novak Djokovic,285.9,64.1%,75.5%,55.5%,86.1%
10,Grigor Dimitrov,284.1,60.9%,80.0%,52.0%,86.9%
11,Carlos Alcaraz,283.8,65.3%,73.0%,57.4%,85.5%
12,Andrey Rublev,283.4,61.8%,76.7%,52.8%,86.4%
13,Ugo Humbert,282.9,63.7%,73.2%,55.3%,85.5%
14,Jiri Lehecka,282.7,61.1%,76.7%,52.9%,86.5%
15,Lorenzo Sonego,281.5,67.5%,74.0%,51.7%,83.7%
16,Tallon Griekspoor,279.9,63.1%,74.8%,52.5%,84.0%
17,Karen Khachanov,279.7,64.6%,74.4%,52.3%,82.8%
18,Stefanos Tsitsipas,279.7,60.4%,74.4%,54.8%,86.2%
19,Casper Ruud,279.4,65.4%,72.6%,53.9%,83.7%
20,Arthur Rinderknech,279.3,62.5%,76.4%,49.4%,82.8%
21,Alexei Popyrin,279.1,63.8%,74.5%,50.3%,83.7%
22,Zhizhen Zhang,277.5,63.4%,73.4%,51.8%,82.7%
23,Jack Draper,276.8,58.7%,78.2%,50.5%,84.2%
24,Jan-Lennard Struff,276.4,58.1%,77.5%,51.0%,84.3%
25,Frances Tiafoe,276.4,58.3%,75.0%,53.1%,84.1%
26,Alejandro Tabilo,276.4,64.1%,74.9%,48.8%,83.6%
27,Felix Auger-Aliassime,275.9,62.7%,74.6%,50.9%,83.5%
28,Sebastian Korda,275.9,60.4%,74.5%,52.7%,82.5%
29,Holger Rune,275.6,59.9%,73.3%,55.2%,83.8%
30,Nicolas Jarry,275.2,63.3%,74.4%,49.1%,81.8%
31,Tomas Martin Etcheverry,274.2,65.0%,72.4%,49.9%,81.8%
32,Cameron Norrie,274.1,65.1%,71.6%,52.1%,82.0%
33,Tommy Paul,273.3,61.0%,71.6%,54.9%,81.9%
34,Aleksandar Kovacevic,273.2,59.1%,75.9%,49.0%,82.5%
35,Denis Shapovalov,272.9,59.4%,77.3%,49.6%,85.0%
36,Gael Monfils,272.4,60.4%,74.1%,51.2%,81.7%
37,Jordan Thompson,271.2,59.8%,72.5%,53.1%,80.5%
38,Aleksandar Vukic,271.0,59.3%,74.0%,50.2%,80.2%
39,Lorenzo Musetti,270.8,65.0%,70.9%,52.8%,80.0%
40,Alex Michelsen,270.3,67.8%,69.6%,51.1%,79.3%
41,Arthur Fils,270.2,60.6%,75.1%,50.0%,81.6%
42,Marcos Giron,269.5,60.3%,73.1%,51.2%,81.2%
43,Jakub Mensik,269.1,59.3%,74.7%,47.4%,81.1%
44,Juncheng Shang,268.6,62.5%,71.1%,52.4%,80.2%
45,Zizou Bergs,268.4,62.5%,71.8%,51.8%,78.9%
46,Christopher O'Connell,268.3,58.9%,74.1%,49.2%,80.9%
47,Dusan Lajovic,268.2,70.3%,67.3%,50.8%,78.4%
48,Yoshihito Nishioka,267.2,63.4%,67.9%,55.4%,79.5%
49,Borna Coric,266.9,60.4%,71.9%,50.8%,79.7%
50,Alejandro Davidovich Fokina,266.9,67.1%,67.8%,51.5%,77.8%
